Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1,9238,1,1,126.0,1,1,19,5,5,122.6,0,0,0,1,0,1,18,0,0,6,6,6,14.5,0,0,6,7,6,12.428571428571429,0,11.1,0.6,2.02,1
1,17,1,9238,1,1,125.0,1,19,19,9,9,119.8,1,0,0,1,0,0,18,0,0,6,8,4,11.6,0,0,6,9,0,0.0,0,11.1,0.6,2.02,2
1,17,2,9254,1,1,137.0,1,3,19,2,3,144.7,0,0,0,1,1,0,18,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,16.2,0.3,-0.92,2
1,1,3,9500,1,1,131.0,1,19,3,3,2,126.1,1,0,0,1,0,1,18,0,0,7,9,7,12.59125,0,0,8,11,7,12.820000000000002,0,11.1,0.6,2.02,3
1,1,2,9500,1,1,132.0,1,19,37,4,9,120.1,1,0,0,1,0,0,18,0,0,7,12,6,12.933333333333332,0,0,7,12,6,12.933333333333332,0,7.6,2.6,0.32,1
1,39,1,171,1,19,133.1,1,19,19,1,1,100.0,0,0,0,1,1,0,24,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,13.9,-0.3,0.79,2
1,44,1,9085,1,39,130.0,1,37,37,9,6,130.0,1,0,0,1,0,0,21,0,0,5,7,4,12.75,0,0,5,8,5,13.25,0,12.4,0.5,1.79,1
1,1,1,9773,1,1,130.0,1,19,37,4,5,133.9,1,0,0,1,1,0,18,0,0,6,6,5,13.0,0,0,6,6,6,13.666666666666666,0,10.8,1.4,1.74,1
1,39,1,9003,1,1,133.1,1,19,19,9,9,130.0,1,0,1,0,1,0,24,0,0,6,8,0,0.0,0,0,6,10,0,0.0,0,16.2,0.3,-0.92,2
1,1,6,9500,1,1,135.0,1,37,37,4,9,128.0,1,0,0,1,0,1,18,0,0,7,7,6,12.966666666666669,0,0,7,7,6,12.966666666666669,0,7.6,2.6,0.32,1
